Month,MeanPM25
1,197.05703013516023
2,141.90455368913402
3,87.93118127898244
4,90.38368081911048
5,92.29247262617126
6,70.42573939582282
7,46.6640393445614
8,43.240510561131096
9,55.44782531590415
10,137.7835684758512
11,236.86497983348895
12,208.76890629961082
