Model,MAE,RMSE,R2
Persistence,23.267122620357124,39.875701239804705,0.7505202974998098
Linear Regression,23.656908633712604,38.42680393157695,0.7683207815796361
Random Forest,24.18471685434605,39.3796740877579,0.7566884162677799
XGBoost,23.471058688627174,37.48515092203811,0.7795363070150764
